,0.3,0.36,0.41,0.47,0.52,0.58,0.63
0.3,0.85,0.85,0.85,0.846,0.84,0.843,0.843
0.36,0.824,0.818,0.818,0.805,0.804,0.806,0.824
0.41,0.757,0.766,0.767,0.767,0.745,0.757,0.766
0.47,0.699,0.688,0.698,0.681,0.687,0.701,0.699
0.52,0.536,0.543,0.554,0.533,0.549,0.539,0.554
0.58,0.337,0.329,0.336,0.336,0.329,0.329,0.323
0.63,0.2,0.207,0.207,0.199,0.203,0.206,0.204
